"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10uF","Adafruit VL53L4CX:0805-NO",""
"2","C3","1","0.1uF","Adafruit VL53L4CX:0603-NO",""
"3","C4","1","100nF","Adafruit VL53L4CX:0805-NO",""
"4","C5","1","4.7uF","Adafruit VL53L4CX:0805-NO",""
"5","CONN1, CONN2","2","STEMMA_I2C_QT","Adafruit VL53L4CX:JST_SH4",""
"6","D1","1","GREEN","Adafruit VL53L4CX:CHIPLED_0603_NOOUTLINE",""
"7","D2","1","1N4148","Adafruit VL53L4CX:SOD-323",""
"8","D3","1","NeoPixel_THT","",""
"9","JP1","1","HEADER-1X670MIL","Adafruit VL53L4CX:1X06_ROUND_70",""
"10","M1","1","Stepper_Motor_bipolar","",""
"11","Q1","1","BSS138","Adafruit VL53L4CX:SOT363",""
"12","R1, R2, R3","3","10K","Adafruit VL53L4CX:0603-NO",""
"13","R4","1","10K","Adafruit VL53L4CX:RESPACK_4X0603",""
"14","SJ1","1","SOLDERJUMPER_CLOSED","Adafruit VL53L4CX:SOLDERJUMPER_CLOSEDWIRE",""
"15","SW1, SW2","2","SW_Push","",""
"16","U1","1","LP5907-2.8","Adafruit VL53L4CX:SOT23-5",""
"17","U2","1","VL53L4CX","",""
"18","U3","1","VL53L0X","Adafruit VL53L4CX:LGA12_ST",""
"19","U4, U5","2","MODULE-SEEEDUINO-XIAO-ESP32C3","MOUDLE14P-SMD-2.54-21X17.8MM",""
